"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 22072298, SEN S/N: 22072298, LBL: Frogspot_Pressure)","Temp, °F (LGR S/N: 22072298, SEN S/N: 22072298, LBL: Frogspot_Temp)","Sensor Depth, meters (LGR S/N: )"
63,09/10/24 10:50:00 PM,14.7039,79.326,0.174
64,09/10/24 10:55:00 PM,14.7055,79.326,0.173
65,09/10/24 11:00:00 PM,14.6951,79.151,0.169
66,09/10/24 11:05:00 PM,14.7018,79.151,0.173
67,09/10/24 11:10:00 PM,14.6930,78.975,0.167
68,09/10/24 11:15:00 PM,14.6830,78.975,0.161
69,09/10/24 11:20:00 PM,14.6925,78.800,0.166
70,09/10/24 11:25:00 PM,14.6891,78.800,0.165
71,09/10/24 11:30:00 PM,14.6871,78.624,0.163
72,09/10/24 11:35:00 PM,14.6771,78.624,0.157
73,09/10/24 11:40:00 PM,14.6816,78.449,0.161
74,09/10/24 11:45:00 PM,14.6733,78.449,0.155
75,09/10/24 11:50:00 PM,14.6745,78.274,0.155
76,09/10/24 11:55:00 PM,14.6723,78.098,0.155
77,09/11/24 12:00:00 AM,14.6707,78.098,0.152
78,09/11/24 12:05:00 AM,14.6701,77.923,0.154
79,09/11/24 12:10:00 AM,14.6701,77.923,0.153
80,09/11/24 12:15:00 AM,14.6614,77.749,0.147
81,09/11/24 12:20:00 AM,14.6597,77.749,0.145
82,09/11/24 12:25:00 AM,14.6577,77.574,0.146
83,09/11/24 12:30:00 AM,14.6494,77.574,0.137
84,09/11/24 12:35:00 AM,14.6521,77.400,0.142
85,09/11/24 12:40:00 AM,14.6439,77.400,0.136
86,09/11/24 12:45:00 AM,14.6417,77.225,0.134
87,09/11/24 12:50:00 AM,14.6500,77.225,0.141
88,09/11/24 12:55:00 AM,14.6429,77.050,0.136
89,09/11/24 01:00:00 AM,14.6363,77.050,0.131
90,09/11/24 01:05:00 AM,14.6358,76.876,0.131
91,09/11/24 01:10:00 AM,14.6407,76.876,0.137
92,09/11/24 01:15:00 AM,14.6387,76.703,0.136
93,09/11/24 01:20:00 AM,14.6387,76.703,0.135
94,09/11/24 01:25:00 AM,14.6381,76.528,0.134
95,09/11/24 01:30:00 AM,14.6398,76.528,0.135
96,09/11/24 01:35:00 AM,14.6430,76.528,0.140
97,09/11/24 01:40:00 AM,14.6392,76.354,0.135
98,09/11/24 01:45:00 AM,14.6459,76.354,0.140
99,09/11/24 01:50:00 AM,14.6453,76.181,0.139
100,09/11/24 01:55:00 AM,14.6421,76.181,0.137
101,09/11/24 02:00:00 AM,14.6449,76.006,0.141
102,09/11/24 02:05:00 AM,14.6516,76.006,0.146
103,09/11/24 02:10:00 AM,14.6477,75.832,0.144
104,09/11/24 02:15:00 AM,14.6543,75.832,0.147
105,09/11/24 02:20:00 AM,14.6506,75.659,0.146
106,09/11/24 02:25:00 AM,14.6571,75.659,0.152
107,09/11/24 02:30:00 AM,14.6588,75.659,0.150
108,09/11/24 02:35:00 AM,14.6566,75.484,0.149
109,09/11/24 02:40:00 AM,14.6566,75.484,0.150
110,09/11/24 02:45:00 AM,14.6562,75.312,0.148
111,09/11/24 02:50:00 AM,14.6611,75.312,0.152
112,09/11/24 02:55:00 AM,14.6623,75.139,0.155
113,09/11/24 03:00:00 AM,14.6590,75.139,0.152
114,09/11/24 03:05:00 AM,14.6635,74.964,0.154
115,09/11/24 03:10:00 AM,14.6552,74.964,0.150
116,09/11/24 03:15:00 AM,14.6613,74.791,0.154
117,09/11/24 03:20:00 AM,14.6595,74.791,0.153
118,09/11/24 03:25:00 AM,14.6624,74.619,0.155
119,09/11/24 03:30:00 AM,14.6575,74.619,0.151
120,09/11/24 03:35:00 AM,14.6520,74.446,0.147
121,09/11/24 03:40:00 AM,14.6587,74.446,0.151
122,09/11/24 03:45:00 AM,14.6548,74.271,0.148
123,09/11/24 03:50:00 AM,14.6548,74.271,0.150
124,09/11/24 03:55:00 AM,14.6543,74.098,0.148
125,09/11/24 04:00:00 AM,14.6527,74.098,0.147
126,09/11/24 04:05:00 AM,14.6593,74.098,0.149
127,09/11/24 04:10:00 AM,14.6588,73.926,0.151
128,09/11/24 04:15:00 AM,14.6571,73.926,0.150
129,09/11/24 04:20:00 AM,14.6566,73.753,0.148
130,09/11/24 04:25:00 AM,14.6649,73.753,0.152
131,09/11/24 04:30:00 AM,14.6627,73.580,0.151
132,09/11/24 04:35:00 AM,14.6661,73.580,0.154
133,09/11/24 04:40:00 AM,14.6672,73.407,0.154
134,09/11/24 04:45:00 AM,14.6606,73.407,0.148
135,09/11/24 04:50:00 AM,14.6688,73.407,0.155
136,09/11/24 04:55:00 AM,14.6667,73.234,0.152
137,09/11/24 05:00:00 AM,14.6716,73.234,0.156
138,09/11/24 05:05:00 AM,14.6645,73.062,0.152
139,09/11/24 05:10:00 AM,14.6694,73.062,0.155
140,09/11/24 05:15:00 AM,14.6623,72.891,0.149
141,09/11/24 05:20:00 AM,14.6701,72.718,0.155
142,09/11/24 05:25:00 AM,14.6668,72.718,0.154
143,09/11/24 05:30:00 AM,14.6597,72.545,0.149
144,09/11/24 05:35:00 AM,14.6613,72.545,0.152
145,09/11/24 05:40:00 AM,14.6575,72.372,0.148
146,09/11/24 05:45:00 AM,14.6559,72.372,0.145
147,09/11/24 05:50:00 AM,14.6587,72.199,0.147
148,09/11/24 05:55:00 AM,14.6537,72.199,0.143
149,09/11/24 06:00:00 AM,14.6582,72.028,0.147
150,09/11/24 06:05:00 AM,14.6516,72.028,0.141
151,09/11/24 06:10:00 AM,14.6561,71.856,0.143
152,09/11/24 06:15:00 AM,14.6588,71.683,0.144
153,09/11/24 06:20:00 AM,14.6588,71.683,0.143
154,09/11/24 06:25:00 AM,14.6588,71.683,0.142
155,09/11/24 06:30:00 AM,14.6566,71.512,0.141
156,09/11/24 06:35:00 AM,14.6545,71.339,0.139
157,09/11/24 06:40:00 AM,14.6627,71.339,0.145
158,09/11/24 06:45:00 AM,14.6523,71.168,0.136
159,09/11/24 06:50:00 AM,14.6590,71.168,0.140
160,09/11/24 06:55:00 AM,14.6535,70.995,0.136
161,09/11/24 07:00:00 AM,14.6535,70.995,0.137
162,09/11/24 07:05:00 AM,14.6546,70.824,0.137
163,09/11/24 07:10:00 AM,14.6678,70.824,0.147
164,09/11/24 07:15:00 AM,14.6656,70.651,0.145
165,09/11/24 07:20:00 AM,14.6706,70.651,0.148
166,09/11/24 07:25:00 AM,14.6706,70.651,0.147
167,09/11/24 07:30:00 AM,14.6751,70.480,0.151
168,09/11/24 07:35:00 AM,14.6735,70.480,0.151
169,09/11/24 07:40:00 AM,14.6812,70.308,0.155
170,09/11/24 07:45:00 AM,14.6845,70.308,0.157
171,09/11/24 07:50:00 AM,14.6823,70.137,0.154
172,09/11/24 07:55:00 AM,14.6857,70.137,0.158
173,09/11/24 08:00:00 AM,14.6888,70.137,0.159
174,09/11/24 08:05:00 AM,14.6933,69.964,0.160
175,09/11/24 08:10:00 AM,14.6933,69.964,0.159
176,09/11/24 08:15:00 AM,14.6916,69.964,0.158
177,09/11/24 08:20:00 AM,14.6928,69.793,0.156
178,09/11/24 08:25:00 AM,14.6845,69.793,0.151
179,09/11/24 08:30:00 AM,14.6878,69.793,0.153
180,09/11/24 08:35:00 AM,14.6906,69.622,0.155
181,09/11/24 08:40:00 AM,14.6857,69.622,0.151
182,09/11/24 08:45:00 AM,14.6857,69.622,0.148
183,09/11/24 08:50:00 AM,14.6874,69.622,0.149
184,09/11/24 08:55:00 AM,14.6841,69.622,0.147
185,09/11/24 09:00:00 AM,14.6823,69.622,0.145
186,09/11/24 09:05:00 AM,14.6823,69.622,0.145
187,09/11/24 09:10:00 AM,14.6774,69.622,0.140
188,09/11/24 09:15:00 AM,14.6742,69.622,0.138
189,09/11/24 09:20:00 AM,14.6758,69.622,0.136
190,09/11/24 09:25:00 AM,14.6813,69.793,0.141
191,09/11/24 09:30:00 AM,14.6697,69.793,0.134
192,09/11/24 09:35:00 AM,14.6664,69.793,0.133
193,09/11/24 09:40:00 AM,14.6713,69.793,0.137
194,09/11/24 09:45:00 AM,14.6652,69.964,0.131
195,09/11/24 09:50:00 AM,14.6703,69.964,0.138
196,09/11/24 09:55:00 AM,14.6703,69.964,0.137
197,09/11/24 10:00:00 AM,14.6674,70.137,0.134
198,09/11/24 10:05:00 AM,14.6624,70.137,0.133
199,09/11/24 10:10:00 AM,14.6624,70.137,0.133
200,09/11/24 10:15:00 AM,14.6613,70.308,0.132
201,09/11/24 10:20:00 AM,14.6564,70.308,0.128
202,09/11/24 10:25:00 AM,14.6619,70.480,0.133
203,09/11/24 10:30:00 AM,14.6603,70.480,0.132
204,09/11/24 10:35:00 AM,14.6591,70.651,0.129
205,09/11/24 10:40:00 AM,14.6623,70.651,0.130
206,09/11/24 10:45:00 AM,14.6645,70.824,0.133
207,09/11/24 10:50:00 AM,14.6629,70.824,0.134
208,09/11/24 10:55:00 AM,14.6617,70.995,0.133
209,09/11/24 11:00:00 AM,14.6606,71.168,0.134
210,09/11/24 11:05:00 AM,14.6556,71.168,0.130
211,09/11/24 11:10:00 AM,14.6594,71.339,0.132
212,09/11/24 11:15:00 AM,14.6566,71.512,0.131
213,09/11/24 11:20:00 AM,14.6582,71.512,0.133
214,09/11/24 11:25:00 AM,14.6521,71.683,0.128
215,09/11/24 11:30:00 AM,14.6511,71.856,0.130
216,09/11/24 11:35:00 AM,14.6516,72.028,0.129
217,09/11/24 11:40:00 AM,14.6471,72.199,0.128
218,09/11/24 11:45:00 AM,14.6410,72.372,0.122
219,09/11/24 11:50:00 AM,14.6416,72.545,0.123
220,09/11/24 11:55:00 AM,14.6437,72.718,0.125
221,09/11/24 12:00:00 PM,14.6469,72.718,0.128
222,09/11/24 12:05:00 PM,14.6376,72.891,0.122
223,09/11/24 12:10:00 PM,14.6430,73.062,0.125
224,09/11/24 12:15:00 PM,14.6436,73.234,0.127
225,09/11/24 12:20:00 PM,14.6424,73.407,0.127
226,09/11/24 12:25:00 PM,14.6446,73.580,0.130
227,09/11/24 12:30:00 PM,14.6466,73.753,0.131
228,09/11/24 12:35:00 PM,14.6488,73.926,0.132
229,09/11/24 12:40:00 PM,14.6477,74.098,0.133
230,09/11/24 12:45:00 PM,14.6565,74.271,0.138
231,09/11/24 12:50:00 PM,14.6603,74.446,0.142
232,09/11/24 12:55:00 PM,14.6674,74.619,0.149
233,09/11/24 01:00:00 PM,14.6707,74.619,0.153
234,09/11/24 01:05:00 PM,14.6678,74.791,0.151
235,09/11/24 01:10:00 PM,14.6700,74.964,0.153
236,09/11/24 01:15:00 PM,14.6722,75.139,0.156
237,09/11/24 01:20:00 PM,14.6710,75.312,0.152
238,09/11/24 01:25:00 PM,14.6732,75.484,0.154
239,09/11/24 01:30:00 PM,14.6720,75.659,0.155
240,09/11/24 01:35:00 PM,14.6775,75.832,0.160
241,09/11/24 01:40:00 PM,14.6713,76.006,0.154
242,09/11/24 01:45:00 PM,14.6768,76.181,0.159
243,09/11/24 01:50:00 PM,14.6674,76.354,0.153
244,09/11/24 01:55:00 PM,14.6691,76.354,0.154
245,09/11/24 02:00:00 PM,14.6613,76.528,0.151
246,09/11/24 02:05:00 PM,14.6668,76.703,0.153
247,09/11/24 02:10:00 PM,14.6606,76.876,0.149
248,09/11/24 02:15:00 PM,14.6556,76.876,0.146
249,09/11/24 02:20:00 PM,14.6495,77.050,0.145
250,09/11/24 02:25:00 PM,14.6500,77.225,0.143
251,09/11/24 02:30:00 PM,14.6472,77.400,0.141
252,09/11/24 02:35:00 PM,14.6423,77.400,0.138
253,09/11/24 02:40:00 PM,14.6443,77.574,0.138
254,09/11/24 02:45:00 PM,14.6416,77.749,0.137
255,09/11/24 02:50:00 PM,14.6416,77.749,0.139
256,09/11/24 02:55:00 PM,14.6437,77.923,0.142
257,09/11/24 03:00:00 PM,14.6408,78.098,0.139
258,09/11/24 03:05:00 PM,14.6376,78.098,0.138
259,09/11/24 03:10:00 PM,14.6414,78.274,0.138
260,09/11/24 03:15:00 PM,14.6414,78.274,0.142
261,09/11/24 03:20:00 PM,14.6320,78.449,0.134
262,09/11/24 03:25:00 PM,14.6374,78.624,0.139
263,09/11/24 03:30:00 PM,14.6358,78.624,0.137
264,09/11/24 03:35:00 PM,14.6379,78.800,0.142
265,09/11/24 03:40:00 PM,14.6346,78.800,0.139
266,09/11/24 03:45:00 PM,14.6384,78.975,0.144
267,09/11/24 03:50:00 PM,14.6400,78.975,0.144
268,09/11/24 03:55:00 PM,14.6439,79.151,0.147
269,09/11/24 04:00:00 PM,14.6439,79.151,0.148
270,09/11/24 04:05:00 PM,14.6459,79.326,0.150
271,09/11/24 04:10:00 PM,14.6443,79.326,0.151
272,09/11/24 04:15:00 PM,14.6492,79.326,0.152
273,09/11/24 04:20:00 PM,14.6481,79.502,0.153
274,09/11/24 04:25:00 PM,14.6530,79.502,0.157
275,09/11/24 04:30:00 PM,14.6548,79.502,0.157
276,09/11/24 04:35:00 PM,14.6564,79.502,0.160
277,09/11/24 04:40:00 PM,14.6552,79.678,0.161
278,09/11/24 04:45:00 PM,14.6552,79.678,0.159
279,09/11/24 04:50:00 PM,14.6568,79.678,0.160
280,09/11/24 04:55:00 PM,14.6552,79.678,0.161
281,09/11/24 05:00:00 PM,14.6619,79.678,0.162
282,09/11/24 05:05:00 PM,14.6635,79.678,0.164
283,09/11/24 05:10:00 PM,14.6668,79.678,0.166
284,09/11/24 05:15:00 PM,14.6619,79.678,0.163
285,09/11/24 05:20:00 PM,14.6784,79.678,0.175
286,09/11/24 05:25:00 PM,14.6717,79.678,0.170
287,09/11/24 05:30:00 PM,14.6635,79.678,0.164
288,09/11/24 05:35:00 PM,14.6701,79.678,0.170
289,09/11/24 05:40:00 PM,14.6668,79.678,0.169
290,09/11/24 05:45:00 PM,14.6684,79.678,0.169
291,09/11/24 05:50:00 PM,14.6729,79.502,0.173
292,09/11/24 05:55:00 PM,14.6680,79.502,0.169
293,09/11/24 06:00:00 PM,14.6729,79.502,0.174
294,09/11/24 06:05:00 PM,14.6729,79.502,0.173
295,09/11/24 06:10:00 PM,14.6630,79.502,0.168
296,09/11/24 06:15:00 PM,14.6680,79.502,0.170
297,09/11/24 06:20:00 PM,14.6713,79.502,0.174
298,09/11/24 06:25:00 PM,14.6630,79.502,0.169
299,09/11/24 06:30:00 PM,14.6680,79.502,0.173
300,09/11/24 06:35:00 PM,14.6664,79.502,0.174
301,09/11/24 06:40:00 PM,14.6713,79.502,0.177
302,09/11/24 06:45:00 PM,14.6630,79.502,0.171
303,09/11/24 06:50:00 PM,14.6664,79.502,0.173
304,09/11/24 06:55:00 PM,14.6746,79.502,0.180
305,09/11/24 07:00:00 PM,14.6658,79.326,0.174
306,09/11/24 07:05:00 PM,14.6725,79.326,0.178
307,09/11/24 07:10:00 PM,14.6575,79.326,0.167
308,09/11/24 07:15:00 PM,14.6658,79.326,0.175
309,09/11/24 07:20:00 PM,14.6575,79.326,0.168
310,09/11/24 07:25:00 PM,14.6542,79.326,0.164
311,09/11/24 07:30:00 PM,14.6587,79.151,0.168
312,09/11/24 07:35:00 PM,14.6504,79.151,0.163
313,09/11/24 07:40:00 PM,14.6553,79.151,0.165
314,09/11/24 07:45:00 PM,14.6471,79.151,0.161
315,09/11/24 07:50:00 PM,14.6466,78.975,0.160
316,09/11/24 07:55:00 PM,14.6565,78.975,0.168
317,09/11/24 08:00:00 PM,14.6482,78.975,0.161
318,09/11/24 08:05:00 PM,14.6565,78.975,0.167
319,09/11/24 08:10:00 PM,14.6500,78.975,0.163
320,09/11/24 08:15:00 PM,14.6511,78.800,0.163
321,09/11/24 08:20:00 PM,14.6577,78.800,0.165
322,09/11/24 08:25:00 PM,14.6594,78.800,0.165
323,09/11/24 08:30:00 PM,14.6639,78.624,0.168
324,09/11/24 08:35:00 PM,14.6572,78.624,0.163
325,09/11/24 08:40:00 PM,14.6639,78.624,0.169
326,09/11/24 08:45:00 PM,14.6787,78.624,0.180
327,09/11/24 08:50:00 PM,14.6716,78.449,0.174
328,09/11/24 08:55:00 PM,14.6749,78.449,0.173
329,09/11/24 09:00:00 PM,14.6849,78.449,0.182
330,09/11/24 09:05:00 PM,14.6783,78.449,0.177
331,09/11/24 09:10:00 PM,14.6926,78.274,0.187
332,09/11/24 09:15:00 PM,14.6877,78.274,0.183
333,09/11/24 09:20:00 PM,14.6926,78.274,0.189
334,09/11/24 09:25:00 PM,14.6906,78.098,0.185
335,09/11/24 09:30:00 PM,14.7038,78.098,0.196
336,09/11/24 09:35:00 PM,14.7103,78.098,0.201
337,09/11/24 09:40:00 PM,14.6967,77.923,0.192
338,09/11/24 09:45:00 PM,14.7016,77.923,0.197
339,09/11/24 09:50:00 PM,14.7065,77.923,0.198
340,09/11/24 09:55:00 PM,14.7032,77.923,0.196
341,09/11/24 10:00:00 PM,14.7012,77.749,0.196
342,09/11/24 10:05:00 PM,14.6994,77.749,0.194
343,09/11/24 10:10:00 PM,14.7044,77.749,0.196
344,09/11/24 10:15:00 PM,14.7023,77.574,0.194
345,09/11/24 10:20:00 PM,14.7039,77.574,0.198
346,09/11/24 10:25:00 PM,14.7006,77.574,0.195
347,09/11/24 10:30:00 PM,14.7067,77.400,0.199
348,09/11/24 10:35:00 PM,14.6984,77.400,0.194
349,09/11/24 10:40:00 PM,14.7051,77.400,0.197
350,09/11/24 10:45:00 PM,14.6897,77.225,0.186
351,09/11/24 10:50:00 PM,14.6964,77.225,0.191
352,09/11/24 10:55:00 PM,14.6946,77.225,0.191
353,09/11/24 11:00:00 PM,14.6893,77.050,0.190
354,09/11/24 11:05:00 PM,14.6810,77.050,0.181
355,09/11/24 11:10:00 PM,14.6804,76.876,0.182
356,09/11/24 11:15:00 PM,14.6871,76.876,0.184
357,09/11/24 11:20:00 PM,14.6822,76.876,0.181
358,09/11/24 11:25:00 PM,14.6651,76.703,0.170
359,09/11/24 11:30:00 PM,14.6668,76.703,0.169
360,09/11/24 11:35:00 PM,14.6597,76.528,0.166
361,09/11/24 11:40:00 PM,14.6646,76.528,0.168
362,09/11/24 11:45:00 PM,14.6646,76.528,0.168
363,09/11/24 11:50:00 PM,14.6629,76.528,0.167
364,09/11/24 11:55:00 PM,14.6542,76.354,0.162
365,09/12/24 12:00:00 AM,14.6508,76.354,0.162
366,09/12/24 12:05:00 AM,14.6492,76.354,0.158
367,09/12/24 12:10:00 AM,14.6520,76.181,0.159
368,09/12/24 12:15:00 AM,14.6388,76.181,0.153
369,09/12/24 12:20:00 AM,14.6404,76.181,0.153
370,09/12/24 12:25:00 AM,14.6300,76.006,0.147
371,09/12/24 12:30:00 AM,14.6284,76.006,0.146
372,09/12/24 12:35:00 AM,14.6300,76.006,0.148
373,09/12/24 12:40:00 AM,14.6262,75.832,0.145
374,09/12/24 12:45:00 AM,14.6279,75.832,0.147
375,09/12/24 12:50:00 AM,14.6228,75.832,0.145
376,09/12/24 12:55:00 AM,14.6240,75.659,0.144
377,09/12/24 01:00:00 AM,14.6208,75.659,0.144
378,09/12/24 01:05:00 AM,14.6157,75.659,0.138
379,09/12/24 01:10:00 AM,14.6153,75.484,0.140
380,09/12/24 01:15:00 AM,14.6120,75.484,0.138
381,09/12/24 01:20:00 AM,14.6137,75.484,0.138
382,09/12/24 01:25:00 AM,14.6131,75.312,0.138
383,09/12/24 01:30:00 AM,14.6131,75.312,0.139
384,09/12/24 01:35:00 AM,14.6131,75.312,0.141
385,09/12/24 01:40:00 AM,14.6143,75.139,0.141
386,09/12/24 01:45:00 AM,14.6044,75.139,0.133
387,09/12/24 01:50:00 AM,14.6094,75.139,0.137
388,09/12/24 01:55:00 AM,14.6105,74.964,0.140
389,09/12/24 02:00:00 AM,14.6105,74.964,0.140
390,09/12/24 02:05:00 AM,14.6101,74.791,0.140
391,09/12/24 02:10:00 AM,14.6001,74.791,0.133
392,09/12/24 02:15:00 AM,14.6034,74.791,0.137
393,09/12/24 02:20:00 AM,14.6133,74.791,0.143
394,09/12/24 02:25:00 AM,14.6062,74.619,0.139
395,09/12/24 02:30:00 AM,14.6079,74.619,0.139
396,09/12/24 02:35:00 AM,14.6030,74.619,0.137
397,09/12/24 02:40:00 AM,14.6024,74.446,0.137
398,09/12/24 02:45:00 AM,14.5975,74.446,0.133
399,09/12/24 02:50:00 AM,14.6024,74.446,0.137
400,09/12/24 02:55:00 AM,14.5970,74.271,0.133
401,09/12/24 03:00:00 AM,14.5986,74.271,0.136
402,09/12/24 03:05:00 AM,14.6031,74.098,0.138
403,09/12/24 03:10:00 AM,14.5980,74.098,0.134
404,09/12/24 03:15:00 AM,14.6014,74.098,0.137
405,09/12/24 03:20:00 AM,14.6047,74.098,0.139
406,09/12/24 03:25:00 AM,14.5976,73.926,0.134
407,09/12/24 03:30:00 AM,14.6009,73.926,0.136
408,09/12/24 03:35:00 AM,14.5976,73.926,0.135
409,09/12/24 03:40:00 AM,14.6054,73.753,0.142
410,09/12/24 03:45:00 AM,14.6004,73.753,0.135
411,09/12/24 03:50:00 AM,14.6070,73.753,0.142
412,09/12/24 03:55:00 AM,14.6049,73.580,0.141
413,09/12/24 04:00:00 AM,14.6033,73.580,0.137
414,09/12/24 04:05:00 AM,14.6082,73.580,0.140
415,09/12/24 04:10:00 AM,14.6115,73.580,0.143
416,09/12/24 04:15:00 AM,14.6094,73.407,0.143
417,09/12/24 04:20:00 AM,14.6076,73.407,0.142
418,09/12/24 04:25:00 AM,14.6076,73.407,0.139
419,09/12/24 04:30:00 AM,14.6023,73.234,0.137
420,09/12/24 04:35:00 AM,14.6023,73.234,0.138
421,09/12/24 04:40:00 AM,14.6038,73.234,0.139
422,09/12/24 04:45:00 AM,14.6056,73.234,0.139
423,09/12/24 04:50:00 AM,14.6068,73.062,0.139
424,09/12/24 04:55:00 AM,14.5985,73.062,0.132
425,09/12/24 05:00:00 AM,14.6017,73.062,0.134
426,09/12/24 05:05:00 AM,14.5963,72.891,0.131
427,09/12/24 05:10:00 AM,14.6062,72.891,0.139
428,09/12/24 05:15:00 AM,14.6012,72.891,0.131
429,09/12/24 05:20:00 AM,14.6028,72.891,0.133
430,09/12/24 05:25:00 AM,14.6073,72.718,0.138
431,09/12/24 05:30:00 AM,14.6057,72.718,0.136
432,09/12/24 05:35:00 AM,14.6024,72.718,0.134
433,09/12/24 05:40:00 AM,14.6052,72.545,0.136
434,09/12/24 05:45:00 AM,14.6002,72.545,0.132
435,09/12/24 05:50:00 AM,14.6052,72.545,0.135
436,09/12/24 05:55:00 AM,14.6014,72.372,0.133
437,09/12/24 06:00:00 AM,14.6081,72.372,0.134
438,09/12/24 06:05:00 AM,14.6130,72.372,0.138
439,09/12/24 06:10:00 AM,14.6112,72.372,0.138
440,09/12/24 06:15:00 AM,14.6108,72.199,0.134
441,09/12/24 06:20:00 AM,14.6124,72.199,0.135
442,09/12/24 06:25:00 AM,14.6207,72.199,0.142
443,09/12/24 06:30:00 AM,14.6202,72.028,0.139
444,09/12/24 06:35:00 AM,14.6234,72.028,0.142
445,09/12/24 06:40:00 AM,14.6218,72.028,0.139
446,09/12/24 06:45:00 AM,14.6214,71.856,0.140
447,09/12/24 06:50:00 AM,14.6263,71.856,0.144
448,09/12/24 06:55:00 AM,14.6263,71.856,0.143
449,09/12/24 07:00:00 AM,14.6246,71.856,0.141
450,09/12/24 07:05:00 AM,14.6275,71.683,0.140
451,09/12/24 07:10:00 AM,14.6307,71.683,0.143
452,09/12/24 07:15:00 AM,14.6291,71.683,0.143
453,09/12/24 07:20:00 AM,14.6302,71.512,0.142
454,09/12/24 07:25:00 AM,14.6302,71.512,0.143
455,09/12/24 07:30:00 AM,14.6269,71.512,0.140
456,09/12/24 07:35:00 AM,14.6265,71.339,0.141
457,09/12/24 07:40:00 AM,14.6247,71.339,0.138
